"ID","ObjectName","AdmArea","District","ObjectAddress","Coordinates","ConsrtuctionWorkType","MainFunctional","SourceOfFinance","DevelopmentArea","FloorsAmount","ObjectStatus","CadastralNumber","GPZUDocumentNumber","GPZUDocumentDate","GPZUDocumentStatus","Permission","EntryState","EntryAddReason","FunctionalForNG"
"176560","Жилой дом с инженерными сетями и благоустройством территории","Восточный административный округ","район Восточный","г. Москва, ВАО, Восточный, ул. Девятого Мая, вл. 28, з/у 1","37.874974323333,55.819670723412","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","3233","13+1 подземный","в строительстве","не определен","RU77119000-039951","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"176446","Жилой дом с инженерными сетями и благоустройством территории","Северо-Восточный административный округ","Лосиноостровский район","Москва, СВАО, Лосиноостровский, Шушенская ул. вл. 5","37.687027747623,55.868453948023","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","728","21","в строительстве","77:02:0010015:1019","RU77151000-046042","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"37443","Многофункциональный жилой комплекс с подземной автостоянкой на земельном участке с кадастровым номером 77:02:0018009:6 по адресу: ул. Вильгельма Пика , влд. 3, стр. 1-8, Ростокино, СВАО, г. Москвы","Северо-Восточный административный округ","район Ростокино","Москва, СВАО, Ростокино, Пика Вильгельма ул., вл. 3, стр. 1-8","37.639145364996,55.834872046698","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","4640.7","49","в строительстве","77:02:0018009:6","РФ-77-4-53-3-60-2020-1379","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"199162","Реконструкция объекта незавершенного строительства ""Административно-офисное здание""","Западный административный округ","Можайский район","Москва, ул.  Говорова, вл. 66, корп. 5","37.392579800023,55.721330570472","реконструкция","Офисное здание","внебюджетные источники","394.1","7","в строительстве","77:07:0008001:11302","RU77162000-036293","","действует","More then 1 level","активна","новый объект","Офисное здание"
"202861","Жилая застройка в составе многоквартирных домов,школы с блоком ДОО,паркингом и многофункциональным комплексом по адресу г.Москва,Варшавское шоссе (уч. с кадастр. номером 77:05:0008007:14033),1 этап Многоквартирные дома № 1, 2, 3, 9, 10,11. 1 очередь.","Южный административный округ","район Чертаново Южное","Москва, ЮАО, Чертаново Южное, Варшавское шоссе","37.581231083159,55.582063173741","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","4560","26","в строительстве","77:05:0008007:14033","РФ-77-4-59-3-26-2020-1430","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"198021","ЗАВОД ПО ПРОИЗВОДСТВУ ЛЕКАРСТВЕННЫХ СРЕДСТВ","Зеленоградский административный округ","район Силино","Москва, ЗелАО, Силино, ОЭЗ ""Алабушево"" (ЗелАО, район Силино)","37.146384886014,56.012022076005","новое строительство","Объект фармацевтического производства","внебюджетные источники","14770.6","5","в строительстве","77:10:0003001:1079","RU77194000-047225","","действует","More then 1 level","активна","новый объект","Промышленно-производственный объект"
"168931","Жилой дом с инженерными сетями и благоустройством территории","Восточный административный округ","район Перово","Москва, ул. Плющева, влд.15/3","37.763641157974,55.740396791755","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1159.5","21","в строительстве","77:77:0104321:03","RU77177000-043574","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"169506","Жилой дом с инженерными сетями и благоустройством","Северо-Восточный административный округ","Бабушкинский район","Москва, СВАО, Бабушкинский, Печорская ул. вл. 7","37.669491657505,55.863310986508","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","850","22-23-24+1 подз.+чердак","в строительстве","не определен","RU77106000-047727","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"206201","Комплекс апартаментов с подземной автостоянкой","Северный административный округ","Головинский район","Москва, САО, Головинский, Михалковская ул. вл. 52 стр. 7,11","37.512088981034,55.839881316626","новое строительство","Апарт-отель","внебюджетные источники","2045.75","10","в строительстве","77:09:0001026:8080","RU77124000-045096","","действует","More then 1 level","активна","новый объект","Апарт-отель"
"718","Жилой комплекс с подземной автостоянкой  и нежилыми помещениями","Восточный административный округ","район Перово","Москва, ВАО, район Перово, ул. Новогиреевская, вл. 5","37.796774998382,55.761697488179","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","11200","21","в строительстве","77:03:0006017:21","RU77-177000-015247","20.03.2015","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"136867","Таможенный терминал","Южный административный округ","район Орехово-Борисово Северное","Москва, ЮАО, Орехово-Борисово Северное, Белова генерала ул. вл. 16","37.719513191943,55.614491888432","реконструкция","Объект таможенных органов","внебюджетные источники","4202","3","в строительстве","77:05:0011005:31","RU77172000-036492","","действует","More then 1 level","активна","новый объект","Объект таможенных органов"
"206384","Деловой центр","Юго-Западный административный округ","Гагаринский район","Москва, ЮЗАО, Коньково, Косыгина ул. д. 15","37.564499271863,55.705397207284","новое строительство","Деловой центр","внебюджетные источники","22603.48","16","в строительстве","77:06:0001002:60","РФ-77-4-53-3-98-2020-0920","","действует","More then 1 level","активна","новый объект","Деловой центр"
"206405","Жилой комплекс №1","Северо-Западный административный округ","район Хорошёво-Мнёвники","Москва, СЗАО, Хорошево-Мневники, Шеногина ул. вл. 2","37.502433466075,55.767749334589","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","10195","44","в строительстве","77:08:0012003:13","РФ-77-4-53-3-71-2020-3362","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"206361","Жилой комплекс с подземной автостоянкой. Этап 1.1 (Корпус 1.2, Корпус 1.3); Этап 1.2 (корпус 1.1, Корпус 1.4), этап: Этап 1.2 (корпус 1.1, Корпус 1.4)","Северный административный округ","Дмитровский район","Москва, САО, Дмитровский, Лобненская ул. вл. 13","37.528180347859,55.887952283837","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","3412.55","33","в строительстве","77:09:0002012:43","RU77127000-047518","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"174957","Жилой дом с инженерными сетями и благоустройством территории (со сносом нежилого здания по адресу: ул. Металлургов, д.56)","Восточный административный округ","район Перово","Москва, ВАО, Перово, Металлургов ул. вл. 56","37.805665436178,55.760408701520","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1277.2","16","в строительстве","77:03:0006016:6942","RU77177000-045458","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"206682","Многофункциональный офисный центр","Юго-Западный административный округ","Обручевский район","Москва, ЮЗАО, Обручевский, Обручева ул. вл. 23 корп. 2, стр. 3","37.530419849353,55.657943285254","новое строительство","Офисное здание","внебюджетные источники","2305.7","13","в строительстве","77:06:0003015:3694","RU77171000-050081","","действует","More then 1 level","активна","новый объект","Офисное здание"
"206761","Многофункциональная комплексная жилая застройка с подземной автостоянкой, очередь «2Б», общеобразовательная школа на 1225 учащихся","Юго-Восточный административный округ","район Лефортово","Москва, ул. Золоторожский Вал,  вл. 11, з/у 6","37.702027012395,55.750439919181","новое строительство","Профессиональная образовательная организация","внебюджетные источники","6325","4","в строительстве","77:04:0001009:2634","RU77148000-034707","","действует","More then 1 level","активна","новый объект","Профессиональная образовательная организация"
"206762","Жилой дом с инженерными сетями и благоустройством территории (со сносом здания по адресу:проезд Гостиничный, д.8, корп.2)","Северо-Восточный административный округ","район Марфино","Москва, СВАО, Марфино, Гостиничный пр. вл. 8А","37.577745232521,55.846399182496","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","2009.62","22","в строительстве","77:02:0017001:87","RU77153000-049017","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"206903","Жилые дома Корпуса 2.1, 2.2","Юго-Восточный административный округ","район Текстильщики","Москва, ЮВАО, Текстильщики, Грайвороновский 1-й пр. вл. 3","37.723502902709,55.721099880636","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","1343.72","23","в строительстве","77:04:0002005:10976","RU77204000-045899","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"206962","Реконструкция незавершенного строительства. Торговый центр","Западный административный округ","район Фили-Давыдково","Москва, ЗАО, район Фили-Давыдково, Кутузовский проспект, вл. 59","37.459948051869,55.725560430937","реконструкция","Торговый центр, торговый комплекс","внебюджетные источники","549","2","в строительстве","77:07:0009003:57","RU77209000-042008","","действует","More then 1 level","активна","новый объект","Торговый центр, торговый комплекс"
"207042","Гостиничный комплекс с апартаментами","Восточный административный округ","район Соколиная Гора","Москва, ВАО, Соколиная гора, Окружной пр. вл. 10Б","37.742173433609,55.792915833029","новое строительство","Гостиница","внебюджетные источники","1430","24","в строительстве","77:03:0003019:66","RU77196000-049625","","действует","More then 1 level","активна","новый объект","Гостиница"
"207222","Апарт-отель со встроенными помещениями общественного назначения, подземной автостоянкой и сетями инженерно-технического обеспечения","Центральный административный округ","Мещанский район","Москва, ЦАО, Мещанский, Сретенка ул. вл. 13/26 стр. 1","37.631548904110,55.768926070879","новое строительство","Апарт-отель","внебюджетные источники","1610","1-2-5+3 подземных","в строительстве","77:01:0001090:3606","","","","More then 1 level","активна","новый объект","Апарт-отель"
"169802","Жилой дом с инженерными сетями и благоустройством территории","Восточный административный округ","район Северное Измайлово","Москва, ВАО, Северное Измайлово, ул. Федина Константина, вл. 3","37.792424461668,55.806966690832","новое строительство","Многоэтажный многоквартирный дом","городской бюджет","1180.3","14","в строительстве","не определен","RU77191000-041532","","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"204109","«ОФИСНО-ТОРГОВЫЙ ЦЕНТР «НАГАТИНСКАЯ», РАСПОЛОЖЕННЫЙ ПО АДРЕСУ: Г. МОСКВА, НАГОРНЫЙ РАЙОН, МЕТРО НАГАТИНСКАЯ» Этап 2. Строительство объекта","Южный административный округ","Нагорный район","Москва, ЮАО, Нагорный, Нагорный","37.622593304041,55.682578093319","новое строительство","Офисное здание","внебюджетные источники","14880.99","16","в строительстве","","","","","More then 1 level","активна","новый объект","Офисное здание"
"204882","Жилая застройка в составе многоквартирных домов,школы с блоком ДОО,паркингом и многофункциональным комплексом по адресу г. Москва, Варшавское шоссе. 2 этап строительства «Учебный корпус на 620 мест(550 школьных и 70 дошкольных мест)», участки с кадастровыми номерами 77:05:0008007:14032 и 77:05:0008007:12581 ","Южный административный округ","район Чертаново Южное","Москва, ш. Варшавское; Москва, ш. Варшавское, вл. 170Е/1","37.579033515500,55.583478178673","новое строительство","Организация дополнительного образования","внебюджетные источники","4282.19","3","в строительстве","77:05:0008007:14032","","","","More then 1 level","активна","новый объект","Организация дополнительного образования"
